TYI,SubjectID,Seed,Room,Date,ExpInitials,Compliance,Notes
TYI_v1,TYI101,101,George,9/13/13,PME,5,
TYI_v1,TYI102,102,Elaine,9/13/13,PME,4,
TYI_v1,TYI103,103,Kramer,9/13/13,MZ,4,subject says she grew somewhat sleepy towards the end
TYI_v1,TYI104,104,George,9/16/13,MZ,5,
TYI_v1,TYI105,105,Elaine,9/16/13,MZ,5,
TYI_v1,TYI106,106,Jerry,9/16/13,MZ,5,says he thinks he gave the right answer three or four times but got buzzes...? Can't remember which categories though
TYI_v1,TYI107,107,Kramer,9/16/13,cpb,5,
TYI_v1,TYI108,108,George,9/16/13,cpb,5,
TYI_v1,TYI109,109,Elaine,9/16/13,cpb,5,
TYI_v1,TYI110,110,Jerry,9/16/13,cpb,5,
TYI_v1,TYI111,111,Kramer,9/16/13,cpb,5,
TYI_v1,TYI112,112,George,9/16/13,cpb,5,
TYI_v1,TYI113,113,Elaine,9/16/13,cpb,5,
TYI_v1,TYI114,114,Jerry,9/16/13,cpb,5,
TYI_v1,TYI115,115,Kramer,9/16/13,cpb,5,
TYI_v1,TYI116,116,Jerry,9/16/13,MP,5,
TYI_v1,TYI117,117,George,9/16/13,PME,5,
TYI_v1,TYI118,118,Elaine,9/16/13,PME,5,
TYI_v1,TYI119,119,Kramer,9/16/13,PME,5,
TYI_v1,TYI120,120,Jerry,9/16/13,PME,3,sleepy; took long breaks
TYI_v1,TYI121,121,Kramer,9/16/13,PME,5,
TYI_v1,TYI122,122,George,9/16/13,PME,5,
TYI_v1,TYI123,123,Elaine,9/16/13,PME,3,
TYI_v1,TYI124,124,Jerry,9/16/13,PME,5,
TYI_v1,TYI125,125,George,9/16/13,PME,5,
TYI_v1,TYI126,126,Elaine,9/16/13,PME,5,
TYI_v1,TYI127,127,Kramer,9/16/13,PME,5,
TYI_v1,TYI128,128,Jerry,9/16/13,PME,5,
TYI_v1,TYI129,129,Kramer,9/17/13,MZ,5,
TYI_v1,TYI130,130,George,9/17/13,MZ,5,
TYI_v1,TYI131,131,Elaine,9/17/13,MZ,5,
TYI_v1,TYI132,132,Jerry,9/17/13,MZ,5,
TYI_v1,TYI133,133,Kramer,9/17/13,MZ,5,
TYI_v1,TYI134,134,Elaine,9/17/13,MZ,5,
TYI_v1,TYI135,135,George,9/17/13,MZ,5,
TYI_v1,TYI136,136,Jerry,9/17/13,MZ,5,
TYI_v1,TYI137,137,Elaine,9/17/13,MZ,5,
TYI_v1,TYI138,138,George,9/17/13,MZ,5,
TYI_v1,TYI139,139,Kramer,9/17/13,MZ,5,TYI137 on questionaire
TYI_v1,TYI140,140,Jerry,9/17/13,MZ,4,
TYI_v1,TYI141,141,Elaine,9/17/13,PME,5,
TYI_v1,TYI142,142,Kramer,9/17/13,PME,5,
TYI_v1,TYI143,143,George,9/17/13,PME,5,
